EQ,group
2672,275
2673,404
2674,264
2675,415
2676,448
2677,398
2678,301
2679,449
2680,450
2681,355
2682,7
2683,324
2684,324
2685,403
2686,275
2687,275
2688,439
2689,355
2690,451
2691,452
2692,442
2693,373
2694,237
2695,286
2696,275
2697,324
2698,197
2699,308
2700,324
2701,453
2702,355
2703,454
2704,454
2705,455
2706,442
2707,442
2708,442
2709,324
2710,341
2711,341
2712,324
2713,285
2714,355
2715,32
2716,275
2717,415
2718,456
2719,275
2720,457
2721,458
2722,459
2723,324
2724,355
2725,460
2726,461
2727,462
2728,462
2729,324
2730,252
2731,275
2732,350
2733,463
2734,324
2735,324
2736,324
2737,442
2738,442
2739,275
2740,176
2741,439
2742,109
2743,464
2744,285
2745,355
2746,357
2747,465
2748,275
2749,424
2750,403
2751,442
2752,466
2753,157
2754,157
2755,252
2756,467
2757,161
2758,275
2759,109
2760,271
2761,355
2762,377
2763,275
2764,241
2765,398
2766,241
2767,275
2768,367
2769,455
2770,439
2771,468
2772,355
2773,324
2774,270
2775,469
2776,275
2777,437
2778,355
2779,355
2780,275
2781,416
2782,440
2783,404
2784,437
2785,275
2786,470
2787,470
2788,275
2789,275
2790,275
2791,368
2792,292
2793,415
2794,415
2795,324
2796,471
2797,472
2798,250
2799,355
2800,180
2801,465
2802,275
2803,275
2804,37
2805,38
2806,357
2807,469
2808,275
2809,275
2810,278
2811,355
2812,188
2813,439
2814,469
2815,469
2816,17
2817,271
2818,422
2819,473
2820,415
2821,59
2822,398
2823,474
2824,271
2825,27
2826,365
2827,368
2828,404
2829,275
2830,373
2831,475
2832,398
2833,398
2834,324
2835,324
2836,324
2837,373
2838,404
2839,404
2840,72
2841,7
2842,3
2843,324
2844,476
2845,275
2846,193
2847,193
2848,270
2849,415
2850,477
2851,25
2852,25
2853,161
2854,373
2855,355
2856,399
2857,398
2858,398
2859,403
2860,398
2861,275
2862,109
2863,109
2864,373
2865,355
2866,161
2867,243
2868,12
2869,275
2870,275
2871,271
2872,46
2873,148
2874,324
2875,275
2876,478
2877,239
2878,100
2879,479
2880,480
2881,398
2882,403
2883,373
2884,481
2885,275
2886,75
2887,324
2888,373
2889,35
2890,274
2891,482
2892,324
2893,275
2894,275
2895,357
2896,373
2897,399
2898,356
2899,356
2900,483
2901,275
2902,30
2903,43
2904,43
2905,275
2906,484
2907,2
2908,161
2909,355
2910,355
2911,155
2912,275
2913,275
2914,275
2915,485
2916,271
2917,328
2918,373
2919,355
2920,275
2921,161
2922,414
2923,7
2924,486
2925,363
2926,324
2927,443
2928,440
2929,470
2930,403
2931,377
2932,403
2933,291
2934,285
2935,285
2936,3
2937,403
2938,403
2939,355
2940,3
2941,355
2942,487
2943,3
2944,373
2945,488
2946,271
2947,489
2948,75
2949,275
2950,275
2951,490
2952,18
2953,491
2954,234
2955,308
2956,492
2957,324
2958,422
2959,44
2960,493
2961,20
2962,7
2963,398
2964,424
2965,0
2966,0
2967,0
2968,324
2969,270
2970,404
2971,352
2972,324
2973,324
2974,324
2975,355
2976,494
2977,324
2978,324
2979,378
2980,378
2981,252
2982,324
2983,324
2984,275
2985,324
2986,324
2987,275
2988,3
2989,3
2990,292
2991,495
2992,7
