separated_group,separated_EQ,MIN_E
453,5308,-76.414317246193
454,5604,-1464.040763531925
455,5352,-834.096013634565
456,5357,-1157.616225524041
457,5843,-1140.546784481819
458,5411,-1140.564341621791
459,5484,-1464.081079077167
460,5428,-1464.032086997947
461,6553,-987.674284472122
462,5439,-987.673150370181
463,5445,-1464.043447650063
464,5458,-987.62266875766
465,6974,-987.685842660143
466,5464,-987.675411584591
467,5481,-1464.058482248798
468,6578,-1140.562540055356
469,5495,-755.464957934752
470,5502,-987.71392694918
471,5593,-1464.040673180659
472,5522,-987.690835897554
473,5525,-1464.069497599169
474,7026,-1464.072954466272
475,5527,-1464.026994593126
476,5531,-987.679511316027
477,7139,-987.683696713996
478,5535,-1231.841359854985
479,5558,-1464.081666988905
480,5563,-1464.081374707307
481,5569,-987.690445781539
482,5574,-1464.042214407477
483,5596,-1464.028116961779
484,6212,-1464.080788630891
485,5618,-1464.034440169668
486,6302,-1464.044706605362
487,6303,-1464.048934370725
488,5666,-1231.749007895126
489,5675,-1464.023643836603
490,5688,-1464.051228186035
491,5708,-1464.046006927229
492,5718,-1464.046604022886
493,5761,-1231.841344795076
494,5767,-1231.834280650538
495,5769,-1231.815926059938
496,6795,-1464.041555224152
497,5798,-1157.583344297751
498,5808,-1464.068364811273
499,5823,-1464.045910921103
500,5837,-1464.027765743212
501,5866,-1464.031382068742
502,5871,-1157.619279252958
503,5874,-1231.769299589112
504,5880,-1464.042824957245
505,6169,-1464.045866176087
506,5887,-1464.030716614765
507,5893,-1231.827706640035
508,7134,-1464.067935368949
509,6451,-1157.574822951292
510,5964,-1140.547831883928
511,5966,-1157.611505804711
512,5974,-1157.605522681027
513,5977,-1464.048911953337
514,6026,-1464.042999562298
515,6038,-1464.05965048164
516,6474,-1464.071068641975
517,6459,-1464.076398750567
518,6126,-1464.081365831982
519,6074,-1464.067133371866
520,6100,-1157.595094420495
521,6104,-1464.028359596876
522,6105,-1464.046006154972
523,6106,-1464.030231672671
524,6107,-1464.044070021236
525,6113,-1464.034127454914
526,6355,-1464.031269861982
527,7262,-987.714406390073
528,6497,-476.342316341984
529,6852,-987.714902409488
530,6120,-1464.009827442088
531,6122,-1464.083729483823
532,6353,-1464.059880367843
533,6742,-987.690443460601
534,6142,-1464.040342616948
535,6146,-1464.029901899841
536,6164,-1464.060205256055
537,6167,-1140.560643542884
538,6176,-1140.555233723145
539,6183,-1157.591616779265
540,6185,-1231.80846011681
541,7071,-1464.082803004362
542,6188,-1064.122920560907
543,6561,-1464.066349241902
544,6192,-987.690446359786
545,6201,-1140.551869221581
546,6205,-1464.066009344505
547,6206,-1464.077623261425
548,6424,-987.676265604383
549,6218,-1464.067128928121
550,6535,-1464.065431827886
551,6615,-1464.078156108335
552,6270,-1464.064060436212
553,6257,-1464.013749240172
554,6261,-1140.566993565646
555,6798,-1464.057726763417
556,6269,-1464.014536162671
557,6289,-1464.054812198148
558,6296,-1140.553741439048
559,6308,-1140.568583746319
560,6312,-1231.832599715339
561,6436,-1464.091792368492
562,6881,-926.586966207416
563,7048,-537.450670478116
564,6348,-1464.050256540642
565,6682,-1464.043830488951
566,6365,-1464.065942737197
567,6373,-1464.048432982087
568,7135,-1140.552736203282
569,6507,-1464.058393667853
570,6377,-926.600688127613
571,6434,-1464.048646445365
572,6384,-1140.555220830523
573,6411,-1464.071960111545
574,6934,-926.600688607688
575,6490,-1464.047908153885
576,6744,-987.690450132808
577,6428,-1157.576692021298
578,7116,-987.713199959845
579,6442,-476.326638607481
580,6445,-1464.043050884433
581,6472,-987.655953270677
582,6504,-476.329509655256
583,7253,-476.34467893436
584,6530,-476.344679479279
585,6516,-926.601403685289
586,6712,-1464.055984648719
587,7155,-1464.066506483472
588,6791,-987.69478595812
589,6792,-476.344830173448
590,6562,-1464.049993797701
591,7284,-1464.072309221312
592,6585,-1464.002336908063
593,,
594,6606,-1464.053922309643
595,6619,-1231.821010748872
596,,
597,6630,-1464.032461494553
598,6637,-1464.042490837636
599,6646,-1464.065081898546
600,6808,-1140.555219198598
601,6659,-1464.025575875852
602,6671,-1464.055598971348
603,6681,-1464.055653602345
604,6683,-1464.020147041113
605,6691,-987.669015443074
606,6693,-1464.035820747064
